ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
2.998907771,3.02777721,2.887710042,2.783570792,2.580245944,2.358375918,2.061543761,1.848950146,1.680230753,1.53935092,1.417974652,1.311121767,97.21557437,279.6332658
1.839044405,-0.158723398,-0.352432035,-0.494188435,-0.76298532,-1.042458175,-1.396769867,-1.641383981,-1.832111578,-1.989949693,-2.125464237,-2.244670083,-28.9718006,200.8232735
0.549711921,2.734269726,2.252829649,1.923072308,1.380906097,0.90160415,0.138755811,-0.515343784,-1.012872418,-1.360080455,-1.609536416,-1.829926,59.55521054,175.9018587
3.709695964,-0.088504181,-0.197488423,-0.278571553,-0.437156114,-0.610906633,-0.845300747,-1.015149707,-1.151425006,-1.266348848,-1.366252901,-1.454914774,-99.93425276,212.7564361
2.443943775,-0.143808767,-0.320026926,-0.449939088,-0.699584293,-0.964464225,-1.305581295,-1.541055243,-1.723044442,-1.871823579,-1.997718759,-2.106767407,-91.79241764,-82.89015883
2.70409722,-0.05996155,-0.133112975,-0.186587637,-0.287557351,-0.390788821,-0.514648965,-0.591813211,-0.645490068,-0.684834174,-0.714525178,-0.737305515,-11.59132826,-11.03552248
2.130936458,1.870979136,1.461825757,1.273096535,0.973599145,0.688824798,0.341237167,0.106326053,-0.074786212,-0.22360352,-0.350688972,-0.46202707,47.27449012,257.7947572
1.567159954,2.766058372,2.328194705,2.030525895,1.523291753,1.06218096,0.53953933,0.203657009,-0.047573763,-0.250384005,-0.422194517,-0.571916575,60.68633906,280.0490198
2.042493441,-0.181984855,-0.404458036,-0.567740099,-0.878750204,-1.203472788,-1.613266566,-1.891742261,-2.104817976,-2.277590505,-2.422868609,-2.548089766,-97.011349,-93.79190215
3.288222885,-0.085909074,-0.191542451,-0.269917252,-0.422382315,-0.587745842,-0.807355782,-0.963734721,-1.087475454,-1.190637687,-1.279442895,-1.357582965,-51.82467995,91.14344832
3.641434599,-0.027369367,-0.061326286,-0.086944004,-0.138413705,-0.197644484,-0.283546731,-0.350649529,-0.407539912,-0.457591716,-0.502584866,-0.543612863,5.237619474,100.9115438
1.024653691,2.742688285,2.271580248,1.946203091,1.386584047,0.876087703,0.259669729,-0.171140466,-0.49198322,-0.742411138,-0.9538474,-1.14198683,54.92507153,223.303991
3.845850811,-0.073588323,-0.164153284,-0.231458158,-0.362786668,-0.505952247,-0.697199205,-0.833810111,-0.941799363,-1.031486872,-1.108243915,-1.175288454,-68.16039855,-86.22609295
2.85019402,-0.010446204,-0.026111246,-0.041442741,-0.083900804,-0.151555293,-0.275208554,-0.383462829,-0.478960477,-0.564254052,-0.641318948,-0.711640478,22.22814373,231.3272738
1.985397373,-0.181552504,-0.4034898,-0.566377687,-0.876722322,-1.201277561,-1.613342727,-1.896660456,-2.116350851,-2.297027617,-2.451200783,-2.586103358,-78.87370935,174.2317413
1.930787161,-0.191847283,-0.426180797,-0.597887985,-0.923840879,-1.261931702,-1.684878527,-1.970387668,-2.187893091,-2.363544737,-2.510755783,-2.637324014,-90.93563966,-81.22281845
3.290897343,-0.082027033,-0.182881052,-0.257701461,-0.403220301,-0.560985455,-0.770374285,-0.919376928,-1.037225379,-1.135441869,-1.219968971,-1.294331821,-44.06848225,90.30673112
3.440245459,-0.096141727,-0.214435008,-0.302310355,-0.473662919,-0.660323103,-0.909807372,-1.088624979,-1.230766504,-1.349650967,-1.452222135,-1.542615533,-99.73464755,12.96257857
1.981059843,-0.043615438,-0.101620983,-0.150145291,-0.261429649,-0.406756727,-0.630040013,-0.803612441,-0.947086645,-1.069945138,-1.177705169,-1.273896667,13.19911183,189.9277381
