ua,Phase_Shift_1,Phase_Shift_2,Phase_Shift_3,Phase_Shift_4,Phase_Shift_5,Phase_Shift_6,Phase_Shift_7,Phase_Shift_8,Phase_Shift_9,Phase_Shift_10,Phase_Shift_11,Va,Vr
1.086127157,2.204980515,1.472965796,1.095242536,0.525679037,0.027683324,-0.542244907,-0.914438682,-1.197649822,-1.428636497,-1.624775229,-1.79578281,38.12675438,226.6755813
3.691357116,-0.171936897,-0.264829501,-0.329885951,-0.464070888,-0.618356891,-0.832006773,-0.988986813,-1.115819193,-1.223208885,-1.31683561,-1.40012338,-78.40408756,257.5273438
2.643828496,-0.201013211,-0.337723581,-0.435608055,-0.630773336,-0.845794426,-1.1297621,-1.329275085,-1.485287992,-1.614044199,-1.723907183,-1.819827244,-65.91952878,40.1749992
2.132539045,-0.104626485,-0.092398259,-0.07721127,-0.059258271,-0.05528606,-0.067905352,-0.084961889,-0.101245633,-0.115869399,-0.1288492,-0.140354426,1.5072418,5.542232041
3.373689588,-0.175603022,-0.274027247,-0.343182973,-0.48474298,-0.645789054,-0.865746624,-1.024993572,-1.152138219,-1.258711608,-1.350803373,-1.432071714,-65.8214698,91.90491116
2.627570208,1.895395913,1.534404406,1.371895079,1.117013532,0.874365526,0.574297834,0.368991813,0.209517553,0.077826733,-0.034987762,-0.134042165,56.15672898,290.2176542
2.255402041,-0.140320091,-0.182094652,-0.204751716,-0.244538009,-0.271403701,-0.26200353,-0.215526081,-0.154288274,-0.088991175,-0.025480762,0.033277603,-6.561502998,-14.55383778
1.621910135,-0.150281102,-0.215315738,-0.26607501,-0.392376453,-0.562088572,-0.817730014,-1.010944033,-1.167517518,-1.299664856,-1.414281133,-1.515649736,9.020572075,133.4101813
2.59487741,2.941056344,2.804375834,2.705513323,2.504844685,2.27742538,1.966546886,1.741599955,1.562494959,1.412811295,1.283867323,1.170410931,89.13233718,252.8848346
1.489931932,-0.30102778,-0.580491484,-0.780279902,-1.152677664,-1.527758205,-1.977820545,-2.26754466,-2.479670807,-2.64509666,-2.778979982,-2.889995775,-60.28265317,-71.445148
3.518765378,-0.143339583,-0.19198054,-0.223144939,-0.292311605,-0.378115894,-0.50568845,-0.605494377,-0.689824115,-0.763721879,-0.829981569,-0.890315523,3.997465782,285.4736081
3.215862505,-0.185090173,-0.297992893,-0.378200559,-0.54104295,-0.724818395,-0.974312967,-1.154200139,-1.297482972,-1.417417259,-1.520952185,-1.612252166,-84.30470894,86.89177392
3.533066137,-0.160010313,-0.234344898,-0.284903904,-0.389999965,-0.510773349,-0.675477486,-0.793501891,-0.886523893,-0.963386135,-1.028839591,-1.085751552,-37.90141707,-13.44335186
3.285020807,-0.088151786,-0.048577218,-0.011231903,0.051966593,0.10658207,0.159040991,0.184183429,0.197992844,0.205974489,0.210604233,0.213182569,2.482225102,1.687304144
3.704077607,0.126513779,0.433908491,0.578841857,0.685956955,0.672143966,0.566708792,0.462348146,0.369716016,0.287544355,0.213919552,0.147259742,54.44055443,268.3133904
1.971276559,-0.236214095,-0.424401898,-0.559784578,-0.821858875,-1.099681318,-1.452563862,-1.69312394,-1.877996328,-2.02891943,-2.156736321,-2.267728994,-50.16138864,75.51544682
3.361894179,-0.18236125,-0.291150381,-0.368283055,-0.525450818,-0.703666203,-0.946952018,-1.123295045,-1.264294859,-1.382666897,-1.48509966,-1.575611049,-91.41346148,96.02525823
2.724024871,-0.194564205,-0.321604463,-0.412235888,-0.593833414,-0.795127803,-1.06277201,-1.252126131,-1.401054902,-1.524597078,-1.630519574,-1.723424397,-57.28053585,98.94937632
2.712693487,2.824007496,2.529854819,2.329754478,1.984125267,1.667996696,1.318367068,1.102524095,0.945292044,0.821138979,0.718333247,0.630467697,40.66388392,110.8370937
2.100415623,-0.243545369,-0.442938876,-0.587301658,-0.868412971,-1.169562671,-1.557532639,-1.825553059,-2.03340248,-2.204259029,-2.349768171,-2.476718099,-85.04260715,88.17772136
1.861232701,-0.245859842,-0.448023869,-0.593618379,-0.874336873,-1.170959155,-1.548150331,-1.806808101,-2.007041332,-2.171734941,-2.312237779,-2.435103403,-47.50704768,157.9476454
3.629214528,-0.081350649,-0.034153551,0.004147851,0.051796004,0.061502311,0.015682075,-0.049224056,-0.115408922,-0.178828712,-0.238593042,-0.294674436,39.94997288,289.8983093
3.843223964,-0.098824787,-0.07729125,-0.055039106,-0.024805041,-0.012285982,-0.026753396,-0.056918757,-0.091180789,-0.125976894,-0.160026783,-0.192826787,18.39630405,103.2189802
2.988417058,-0.156905323,-0.226582369,-0.273796638,-0.373419809,-0.490627762,-0.656436872,-0.780824055,-0.88301631,-0.970748666,-1.04815791,-1.117734879,-4.99583666,213.853926
